Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport [kW/m],Hydrodynamic Efficiency [  ],Simulation Terminal Condition
18977,90,0.765625,8.75,25,625,50000,2.54317252693366,2.51635725098874,0.0404262554680483,COMPLETE
18978,90,0.765625,8.75,25,625,500000,16.1394075105814,2.51635725098874,0.256551926468148,COMPLETE
18979,90,0.765625,8.75,25,625,5000000,31.6405559265199,2.51635725098874,0.502958090137441,COMPLETE
1898,20,1.5625,12.5,10,1000,10000000,6.25669280679548,14.972078604086,0.0417890726614805,COMPLETE
18980,90,0.765625,8.75,25,625,50000000,6.23591193367739,2.51635725098874,0.0991260192681648,COMPLETE
18981,90,0.765625,8.75,25,875,50000,1.78666757601264,2.51635725098874,0.0284008572361594,COMPLETE
18982,90,0.765625,8.75,25,875,500000,12.9355509945596,2.51635725098874,0.205623442211585,COMPLETE
18983,90,0.765625,8.75,25,875,5000000,34.3035384587195,2.51635725098874,0.545288844741594,COMPLETE
18984,90,0.765625,8.75,25,875,50000000,5.32107600246863,2.51635725098874,0.0845837927087317,COMPLETE
18985,90,0.765625,8.75,35,125,50000,2.0160287779649,2.51635725098874,0.0228905582484108,COMPLETE
18986,90,0.765625,8.75,35,125,500000,12.6552151120526,2.51635725098874,0.143690874770664,COMPLETE
18987,90,0.765625,8.75,35,125,5000000,50.4303875984434,2.51635725098874,0.572600816729116,COMPLETE
18988,90,0.765625,8.75,35,125,50000000,22.2380604456379,2.51635725098874,0.252497198217782,COMPLETE
18989,90,0.765625,8.75,35,375,50000,2.55519323629634,2.51635725098874,0.0290123832807732,COMPLETE
1899,20,1.5625,12.5,10,1000,100000000,0.553975497825355,14.972078604086,0.00370005736995109,COMPLETE
18990,90,0.765625,8.75,35,375,500000,12.3652997233678,2.51635725098874,0.140399093837606,COMPLETE
18991,90,0.765625,8.75,35,375,5000000,55.9341698642408,2.51635725098874,0.635092309865926,COMPLETE
18992,90,0.765625,8.75,35,375,50000000,20.3990436980225,2.51635725098874,0.231616484390081,COMPLETE
18993,90,0.765625,8.75,35,625,50000,3.43174794814178,2.51635725098874,0.0389650322254335,COMPLETE
18994,90,0.765625,8.75,35,625,500000,9.45338495351201,2.51635725098874,0.107336393849227,COMPLETE
18995,90,0.765625,8.75,35,625,5000000,49.9605348637894,2.51635725098874,0.567265976518337,COMPLETE
18996,90,0.765625,8.75,35,625,50000000,26.5254016652549,2.51635725098874,0.301176877293356,COMPLETE
18997,90,0.765625,8.75,35,875,50000,5.05607973971344,2.51635725098874,0.0574081526293249,COMPLETE
18998,90,0.765625,8.75,35,875,500000,13.0413294385654,2.51635725098874,0.148074925523405,COMPLETE
18999,90,0.765625,8.75,35,875,5000000,54.7688389052306,2.51635725098874,0.621860814121691,COMPLETE
19,20,0.25,5,10,750,100000000,0.0027307023701245,0.153314084905841,0.00178111643936797,COMPLETE
190,20,1.4375,5,30,750,10000,5.28908520145589,5.06894693219936,0.0347809599127198,COMPLETE
1900,20,1.5625,12.5,20,0,10000,0.958691791644793,14.972078604086,0.00320159884607859,COMPLETE
19000,90,0.765625,8.75,35,875,50000000,20.7255488901881,2.51635725098874,0.235323716251731,COMPLETE
19001,90,0.765625,8.75,45,125,50000,1.2866573819805,2.51635725098874,0.0113626100805038,COMPLETE
19002,90,0.765625,8.75,45,125,500000,8.16544420075464,2.51635725098874,0.0721099182165122,COMPLETE
19003,90,0.765625,8.75,45,125,5000000,54.4260064795733,2.51635725098874,0.480641931976056,COMPLETE
19004,90,0.765625,8.75,45,125,50000000,43.8456468169757,2.51635725098874,0.387205634915733,COMPLETE
19005,90,0.765625,8.75,45,375,50000,1.98488042525351,2.51635725098874,0.0175286930650214,COMPLETE
19006,90,0.765625,8.75,45,375,500000,8.09260504061221,2.51635725098874,0.0714666677390496,COMPLETE
