Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport (deep water) [kW/m],Hydrodynamic Efficiency (deep water) [ ],Simulation Terminal Condition
16664,50,0.390625,6.25,15,875,50000000,0.0927085044002788,0.467877456377688,0.0132097985824506,COMPLETE
16665,50,0.390625,6.25,25,125,50000,2.12171143728382,0.467877456377688,0.181390354107687,COMPLETE
16666,50,0.390625,6.25,25,125,500000,4.98687238014132,0.467877456377688,0.426340043715697,COMPLETE
16667,50,0.390625,6.25,25,125,5000000,6.77113799159848,0.467877456377688,0.578881320251734,COMPLETE
16668,50,0.390625,6.25,25,125,50000000,0.627290245932418,0.467877456377688,0.0536285933320153,COMPLETE
16669,50,0.390625,6.25,25,375,50000,3.40256589365582,0.467877456377688,0.29089376692765,COMPLETE
1667,20,15.25,10,20,750,1000000,3951.4731418571,1140.96341986927,0.173163883830292,COMPLETE
16670,50,0.390625,6.25,25,375,500000,5.94902217342162,0.467877456377688,0.508596607280805,COMPLETE
16671,50,0.390625,6.25,25,375,5000000,6.25655599032626,0.467877456377688,0.534888433288886,COMPLETE
16672,50,0.390625,6.25,25,375,50000000,0.485508001175213,0.467877456377688,0.0415072788446805,COMPLETE
16673,50,0.390625,6.25,25,625,50000,1.77191548518739,0.467877456377688,0.151485433720665,COMPLETE
16674,50,0.390625,6.25,25,625,500000,5.56234268398296,0.467877456377688,0.475538422136999,COMPLETE
16675,50,0.390625,6.25,25,625,5000000,5.63688068275875,0.467877456377688,0.4819108598563,COMPLETE
16676,50,0.390625,6.25,25,625,50000000,0.782272720161176,0.467877456377688,0.0668784280582817,COMPLETE
16677,50,0.390625,6.25,25,875,50000,2.32108135306779,0.467877456377688,0.198434980906122,COMPLETE
16678,50,0.390625,6.25,25,875,500000,6.35441852422476,0.467877456377688,0.543254943157187,COMPLETE
16679,50,0.390625,6.25,25,875,5000000,5.84257882057309,0.467877456377688,0.499496501994894,COMPLETE
1668,20,15.25,10,20,750,10000000,1796.17886744302,1140.96341986927,0.0787132539117173,COMPLETE
16680,50,0.390625,6.25,25,875,50000000,0.655516979382374,0.467877456377688,0.0560417665306975,COMPLETE
16681,50,0.390625,6.25,35,125,50000,2.03417682580384,0.467877456377688,0.124219145607207,COMPLETE
