Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport [kW/m],Hydrodynamic Efficiency [ ],Simulation Terminal Condition
25445,40,2.25,15,40,1000,100000000,368.576059711563,37.2553226321193,0.247331142016334,COMPLETE
25446,40,2.25,15,50,0,10000,0.90216458344861,37.2553226321193,0.0004843144655367,COMPLETE
25447,40,2.25,15,50,0,100000,8.42267025433199,37.2553226321193,0.00452159297478233,COMPLETE
25448,40,2.25,15,50,0,1000000,64.0955668500477,37.2553226321193,0.034408810511703,COMPLETE
25449,40,2.25,15,50,0,10000000,554.696536021201,37.2553226321193,0.297781093723759,COMPLETE
2545,20,2.25,15,20,1000,10000,1.12182025640283,37.2553226321193,0.00150558386982758,COMPLETE
25450,40,2.25,15,50,0,100000000,684.712682258389,37.2553226321193,0.36757844725686,COMPLETE
25451,40,2.25,15,50,250,10000,0.87684019213425,37.2553226321193,0.00047071941950023,COMPLETE
25452,40,2.25,15,50,250,100000,7.85387770843932,37.2553226321193,0.00421624463489047,COMPLETE
25453,40,2.25,15,50,250,1000000,73.8486791023423,37.2553226321193,0.039644632704737,COMPLETE
25454,40,2.25,15,50,250,10000000,562.402803106326,37.2553226321193,0.301918095655656,COMPLETE
25455,40,2.25,15,50,250,100000000,613.322239443732,37.2553226321193,0.329253484394717,COMPLETE
25456,40,2.25,15,50,500,10000,0.833526958864602,37.2553226321193,0.000447467314721889,COMPLETE
25457,40,2.25,15,50,500,100000,7.16263616132754,37.2553226321193,0.00384516125765737,COMPLETE
25458,40,2.25,15,50,500,1000000,60.9272940802792,37.2553226321193,0.0327079674933489,COMPLETE
25459,40,2.25,15,50,500,10000000,527.663021750083,37.2553226321193,0.283268528881381,COMPLETE
2546,20,2.25,15,20,1000,100000,13.1823920447516,37.2553226321193,0.0176919579719148,COMPLETE
25460,40,2.25,15,50,500,100000000,610.950999867523,37.2553226321193,0.327980517522507,COMPLETE
25461,40,2.25,15,50,750,10000,1.06753464187199,37.2553226321193,0.000573091073408996,COMPLETE
25462,40,2.25,15,50,750,100000,5.93510831967555,37.2553226321193,0.00318618006789647,COMPLETE
25463,40,2.25,15,50,750,1000000,63.2544365968282,37.2553226321193,0.0339572614745223,COMPLETE
25464,40,2.25,15,50,750,10000000,648.705408998506,37.2553226321193,0.348248445143906,COMPLETE
25465,40,2.25,15,50,750,100000000,667.257745663254,37.2553226321193,0.35820800815612,COMPLETE
25466,40,2.25,15,50,1000,10000,0.928347830260166,37.2553226321193,0.000498370576160196,COMPLETE
25467,40,2.25,15,50,1000,100000,8.17168575144548,37.2553226321193,0.00438685544728062,COMPLETE
25468,40,2.25,15,50,1000,1000000,63.269425275099,37.2553226321193,0.033965307937262,COMPLETE
25469,40,2.25,15,50,1000,10000000,565.098738585215,37.2553226321193,0.303365370991591,COMPLETE
2547,20,2.25,15,20,1000,1000000,78.0735760623245,37.2553226321193,0.104781774181999,COMPLETE
25470,40,2.25,15,50,1000,100000000,505.077136870071,37.2553226321193,0.271143611804142,COMPLETE
25471,40,6.6875,15,10,0,10000,8.64163325218357,329.117429641307,0.00262569905872252,COMPLETE
25472,40,6.6875,15,10,0,100000,88.237536214255,329.117429641307,0.0268103504303682,COMPLETE
25473,40,6.6875,15,10,0,1000000,342.397463014669,329.117429641307,0.104035044083759,COMPLETE
25474,40,6.6875,15,10,0,10000000,89.0547894386074,329.117429641307,0.0270586670343363,COMPLETE
25475,40,6.6875,15,10,0,100000000,9.44384130519014,329.117429641307,0.00286944429393564,COMPLETE
25476,40,6.6875,15,10,250,10000,11.5317880175014,329.117429641307,0.00350385211444725,COMPLETE
25477,40,6.6875,15,10,250,100000,83.2832259909519,329.117429641307,0.0253050183582556,COMPLETE
25478,40,6.6875,15,10,250,1000000,423.704689392757,329.117429641307,0.128739668954797,COMPLETE
25479,40,6.6875,15,10,250,10000000,91.9084430038572,329.117429641307,0.0279257294589426,COMPLETE
2548,20,2.25,15,20,1000,10000000,151.766382484636,37.2553226321193,0.20368416076176,COMPLETE
25480,40,6.6875,15,10,250,100000000,8.32280718220236,329.117429641307,0.00252882601546599,COMPLETE
25481,40,6.6875,15,10,500,10000,11.0103047159128,329.117429641307,0.0033454031067004,COMPLETE
25482,40,6.6875,15,10,500,100000,85.6407219704002,329.117429641307,0.0260213268144859,COMPLETE
25483,40,6.6875,15,10,500,1000000,378.952038407893,329.117429641307,0.115141892916732,COMPLETE
25484,40,6.6875,15,10,500,10000000,94.8274996858597,329.117429641307,0.0288126641573522,COMPLETE
25485,40,6.6875,15,10,500,100000000,10.3453532830847,329.117429641307,0.0031433623233992,COMPLETE
25486,40,6.6875,15,10,750,10000,11.8019313857971,329.117429641307,0.00358593326359519,COMPLETE
25487,40,6.6875,15,10,750,100000,85.7330082103876,329.117429641307,0.0260493673348825,COMPLETE
25488,40,6.6875,15,10,750,1000000,328.413760785111,329.117429641307,0.0997861952018272,COMPLETE
25489,40,6.6875,15,10,750,10000000,97.7858693172267,329.117429641307,0.0297115438169895,COMPLETE
2549,20,2.25,15,20,1000,100000000,23.4097639562719,37.2553226321193,0.0314180126520893,COMPLETE
25490,40,6.6875,15,10,750,100000000,11.1452178211063,329.117429641307,0.00338639549818223,COMPLETE
25491,40,6.6875,15,10,1000,10000,9.55381941358594,329.117429641307,0.0029028603632443,COMPLETE
25492,40,6.6875,15,10,1000,100000,80.8314668167279,329.117429641307,0.0245600686979183,COMPLETE
25493,40,6.6875,15,10,1000,1000000,359.627251846459,329.117429641307,0.109270193389151,COMPLETE
25494,40,6.6875,15,10,1000,10000000,78.6242285834952,329.117429641307,0.023889414993665,COMPLETE
25495,40,6.6875,15,10,1000,100000000,10.5150968146188,329.117429641307,0.00319493769323576,COMPLETE
25496,40,6.6875,15,20,0,10000,11.0095033383418,329.117429641307,0.00167257980690064,COMPLETE
25497,40,6.6875,15,20,0,100000,106.243277496437,329.117429641307,0.0161406336960378,COMPLETE
25498,40,6.6875,15,20,0,1000000,566.351316882169,329.117429641307,0.086040918206522,COMPLETE
25499,40,6.6875,15,20,0,10000000,1330.44095767506,329.117429641307,0.202122531025636,COMPLETE
255,20,2.625,5,10,250,10000,15.1538599668898,16.902877860869,0.0896525437361867,COMPLETE
2550,20,2.25,15,30,0,10000,2.48812007389265,37.2553226321193,0.00222618756024188,COMPLETE
25500,40,6.6875,15,20,0,100000000,151.644978603763,329.117429641307,0.0230381263564551,COMPLETE
25501,40,6.6875,15,20,250,10000,10.6062721445751,329.117429641307,0.00161132033574377,COMPLETE
25502,40,6.6875,15,20,250,100000,96.7286080266166,329.117429641307,0.0146951512309812,COMPLETE
25503,40,6.6875,15,20,250,1000000,677.196979273021,329.117429641307,0.102880752929292,COMPLETE
25504,40,6.6875,15,20,250,10000000,1059.46113615714,329.117429641307,0.160954881258007,COMPLETE
25505,40,6.6875,15,20,250,100000000,155.065320516448,329.117429641307,0.023557749689138,COMPLETE
25506,40,6.6875,15,20,500,10000,10.2725888072328,329.117429641307,0.00156062667638546,COMPLETE
25507,40,6.6875,15,20,500,100000,98.8503710901472,329.117429641307,0.0150174925706427,COMPLETE
25508,40,6.6875,15,20,500,1000000,727.374331900964,329.117429641307,0.110503769535041,COMPLETE
25509,40,6.6875,15,20,500,10000000,924.511173941865,329.117429641307,0.14045308614458,COMPLETE
2551,20,2.25,15,30,0,100000,7.39947307755544,37.2553226321193,0.00662050641785438,COMPLETE
25510,40,6.6875,15,20,500,100000000,159.390180706089,329.117429641307,0.0242147887578914,COMPLETE
25511,40,6.6875,15,20,750,10000,13.4971216563091,329.117429641307,0.00205050241049512,COMPLETE
25512,40,6.6875,15,20,750,100000,99.3656155277106,329.117429641307,0.0150957692571927,COMPLETE
25513,40,6.6875,15,20,750,1000000,684.324644183191,329.117429641307,0.103963598179685,COMPLETE
25514,40,6.6875,15,20,750,10000000,1157.73076060802,329.117429641307,0.175884145952067,COMPLETE
25515,40,6.6875,15,20,750,100000000,154.722112009233,329.117429641307,0.023505608952078,COMPLETE
25516,40,6.6875,15,20,1000,10000,9.02733103659753,329.117429641307,0.001371445299393,COMPLETE
25517,40,6.6875,15,20,1000,100000,100.359001405722,329.117429641307,0.0152466858888482,COMPLETE
25518,40,6.6875,15,20,1000,1000000,664.239669067274,329.117429641307,0.100912259461798,COMPLETE
25519,40,6.6875,15,20,1000,10000000,1155.0453374375,329.117429641307,0.175476172546732,COMPLETE
2552,20,2.25,15,30,0,1000000,81.4932669747594,37.2553226321193,0.0729142050201982,COMPLETE
25520,40,6.6875,15,20,1000,100000000,164.356773118708,329.117429641307,0.0249693207220648,COMPLETE
25521,40,6.6875,15,30,0,10000,10.6559863316948,329.117429641307,0.00107924865837991,COMPLETE
25522,40,6.6875,15,30,0,100000,74.7437857168053,329.117429641307,0.00757012330404032,COMPLETE
25523,40,6.6875,15,30,0,1000000,836.929779952644,329.117429641307,0.0847650620088988,COMPLETE
25524,40,6.6875,15,30,0,10000000,2880.54907366078,329.117429641307,0.291744811449232,COMPLETE
25525,40,6.6875,15,30,0,100000000,732.042119938916,329.117429641307,0.0741419378018297,COMPLETE
25526,40,6.6875,15,30,250,10000,8.32979188532772,329.117429641307,0.000843649422680333,COMPLETE
25527,40,6.6875,15,30,250,100000,87.0687600939031,329.117429641307,0.0088184086947118,COMPLETE
25528,40,6.6875,15,30,250,1000000,718.623846391526,329.117429641307,0.0727829220079823,COMPLETE
25529,40,6.6875,15,30,250,10000000,2973.8302054713,329.117429641307,0.301192415192794,COMPLETE
2553,20,2.25,15,30,0,10000000,374.865806282932,37.2553226321193,0.335402460461444,COMPLETE
25530,40,6.6875,15,30,250,100000000,789.127852895926,329.117429641307,0.0799236363503008,COMPLETE
25531,40,6.6875,15,30,500,10000,9.28471816751221,329.117429641307,0.000940365285184205,COMPLETE
25532,40,6.6875,15,30,500,100000,78.8308259785375,329.117429641307,0.00798406271630284,COMPLETE
25533,40,6.6875,15,30,500,1000000,741.870650000792,329.117429641307,0.0751373808845199,COMPLETE
25534,40,6.6875,15,30,500,10000000,2793.15578441443,329.117429641307,0.282893534126364,COMPLETE
25535,40,6.6875,15,30,500,100000000,704.387991627937,329.117429641307,0.071341100793479,COMPLETE
25536,40,6.6875,15,30,750,10000,8.45856584490414,329.117429641307,0.000856691774535998,COMPLETE
25537,40,6.6875,15,30,750,100000,73.8203792463376,329.117429641307,0.00747659979871943,COMPLETE
25538,40,6.6875,15,30,750,1000000,768.725189485984,329.117429641307,0.0778572347590128,COMPLETE
25539,40,6.6875,15,30,750,10000000,2563.44146052286,329.117429641307,0.259627844010638,COMPLETE
2554,20,2.25,15,30,0,100000000,77.1196874250256,37.2553226321193,0.0690010464514025,COMPLETE
25540,40,6.6875,15,30,750,100000000,733.28069883107,329.117429641307,0.074267382276517,COMPLETE
25541,40,6.6875,15,30,1000,10000,7.67317202566957,329.117429641307,0.000777146324746182,COMPLETE
25542,40,6.6875,15,30,1000,100000,113.286016938708,329.117429641307,0.0114737179636433,COMPLETE
25543,40,6.6875,15,30,1000,1000000,656.744354476603,329.117429641307,0.0665157068904316,COMPLETE
25544,40,6.6875,15,30,1000,10000000,3112.51868276361,329.117429641307,0.315238919044369,COMPLETE
25545,40,6.6875,15,30,1000,100000000,719.686142330305,329.117429641307,0.0728905123737207,COMPLETE
25546,40,6.6875,15,40,0,10000,9.09617775606787,329.117429641307,0.000690952296721375,COMPLETE
25547,40,6.6875,15,40,0,100000,63.9762703782698,329.117429641307,0.00485968415954111,COMPLETE
25548,40,6.6875,15,40,0,1000000,704.213096850393,329.117429641307,0.0534925404602461,COMPLETE
25549,40,6.6875,15,40,0,10000000,4482.86989219449,329.117429641307,0.340522066628331,COMPLETE
2555,20,2.25,15,30,250,10000,1.01173412174194,37.2553226321193,0.000905225571598083,COMPLETE
25550,40,6.6875,15,40,0,100000000,1977.8953754266,329.117429641307,0.150242375311316,COMPLETE
25551,40,6.6875,15,40,250,10000,8.00984844452535,329.117429641307,0.000608433929893578,COMPLETE
25552,40,6.6875,15,40,250,100000,68.8070956122076,329.117429641307,0.00522663716771228,COMPLETE
25553,40,6.6875,15,40,250,1000000,677.638026750497,329.117429641307,0.0514738787527167,COMPLETE
25554,40,6.6875,15,40,250,10000000,4579.38175401118,329.117429641307,0.34785317804363,COMPLETE
25555,40,6.6875,15,40,250,100000000,2032.2451658817,329.117429641307,0.154370825034743,COMPLETE
25556,40,6.6875,15,40,500,10000,7.82848348342139,329.117429641307,0.000594657315168128,COMPLETE
25557,40,6.6875,15,40,500,100000,76.7247736019252,329.117429641307,0.00582806976263341,COMPLETE
25558,40,6.6875,15,40,500,1000000,569.369238274242,329.117429641307,0.0432497026133481,COMPLETE
25559,40,6.6875,15,40,500,10000000,4293.65705755539,329.117429641307,0.326149321705241,COMPLETE
2556,20,2.25,15,30,250,100000,11.9229274582924,37.2553226321193,0.0106677620054691,COMPLETE
25560,40,6.6875,15,40,500,100000000,2016.7095669235,329.117429641307,0.153190729606864,COMPLETE
25561,40,6.6875,15,40,750,10000,8.13881467155454,329.117429641307,0.000618230298561271,COMPLETE
